SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
344,HUGO BOSS,HUGO BOSS GREEN,"Grapefruit, Green Apple","Sage, Lavender","Cedarwood, Patchouli, Musk","Hugo Boss Green by Hugo Boss is a captivating fragrance that opens with grapefruit, green apple, creating a fresh and inviting first impression. The heart reveals sage, lavender, adding depth and sophistication, while the base of cedarwood, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
345,HUGO BOSS,HUGO BOSS OUDH,"Saffron, Apple","Oud, Rose, Labdanum","Amber, Sandalwood, Musk","Hugo Boss Oudh by Hugo Boss is a captivating fragrance that opens with saffron, apple, creating a fresh and inviting first impression. The heart reveals oud, rose, adding depth and sophistication, while the base of amber, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
346,HUGO BOSS,BOSS BOTTLED SPORT,"Grapefruit, Aldehydes","Lavender, Cardamom","Vetiver, Sandalwood, Musk","Boss Bottled Sport by Hugo Boss is a captivating fragrance that opens with grapefruit, aldehydes, creating a fresh and inviting first impression. The heart reveals lavender, cardamom, adding depth and sophistication, while the base of vetiver, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
347,HUGO BOSS,BOSS BOTTLED INTENSE,"Apple, Orange Blossom","Cinnamon, Clove","Vanilla, Sandalwood, Cedarwood","Boss Bottled Intense by Hugo Boss is a captivating fragrance that opens with apple, orange blossom, creating a fresh and inviting first impression. The heart reveals cinnamon, clove, adding depth and sophistication, while the base of vanilla, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
348,HUGO BOSS,SAFFRON OUDH,"Saffron, Rose","Oud, Patchouli, Jasmine","Amber, Musk, Sandalwood","Saffron Oudh by Hugo Boss is a captivating fragrance that opens with saffron, rose, creating a fresh and inviting first impression. The heart reveals oud, patchouli, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
349,HUGO BOSS,MARINE,"Citrus, Sea Notes","Lavender, Geranium","Musk, Amber, Cedarwood","Marine by Hugo Boss is a captivating fragrance that opens with citrus, sea notes, creating a fresh and inviting first impression. The heart reveals lavender, geranium, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
350,IBRAHEEM AL QURASHI,MEXICAN TOBACCO,"Tobacco Leaf, Spices","Cacao, Vanilla, Tonka Bean","Amber, Musk, Sandalwood","Mexican Tobacco by Ibraheem Al Qurashi is a captivating fragrance that opens with tobacco leaf, spices, creating a fresh and inviting first impression. The heart reveals cacao, vanilla, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
351,INITIO,PARAGON,"Bergamot, Lavender, Sage","Palo Santo, Plum, Black Pepper","Sandalwood, Oud, Musk","Paragon by Initio is a captivating fragrance that opens with bergamot, lavender, creating a fresh and inviting first impression. The heart reveals palo santo, plum, adding depth and sophistication, while the base of sandalwood, oud leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
352,INITIO,REHAB,"Bergamot, Lavender","Eucalyptus, Cedarwood, Patchouli","Sandalwood, Musk, Vetiver","Rehab by Initio is a captivating fragrance that opens with bergamot, lavender, creating a fresh and inviting first impression. The heart reveals eucalyptus, cedarwood, adding depth and sophistication, while the base of sandalwood, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
353,INITIO,OUDH FOR GREATNESS,"Saffron, Nutmeg","Lavender, Agarwood (Oud)","Patchouli, Musk, Amber","Oudh For Greatness by Initio is a captivating fragrance that opens with saffron, nutmeg, creating a fresh and inviting first impression. The heart reveals lavender, agarwood (oud), adding depth and sophistication, while the base of patchouli, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
354,INTIO,ADDICTIVE VIBRATIONS,"Apple Blossom, Honey","Orange Blossom, Vanilla","Musk, Amber, Sandalwood","Addictive Vibrations by Intio is a captivating fragrance that opens with apple blossom, honey, creating a fresh and inviting first impression. The heart reveals orange blossom, vanilla, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
355,INTIO,SIDE EFFECT,"Cinnamon, Rum","Tobacco, Saffron","Vanilla, Sandalwood, Cedarwood","Side Effect by Intio is a captivating fragrance that opens with cinnamon, rum, creating a fresh and inviting first impression. The heart reveals tobacco, saffron, adding depth and sophistication, while the base of vanilla, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
356,ISSEY MIYAKE,L 'EAU D ISSEY INTENSE,"Yuzu, Bergamot","Nutmeg, Cinnamon, Cardamom","Amber, Incense, Sandalwood","L 'Eau D Issey Intense by Issey Miyake is a captivating fragrance that opens with yuzu, bergamot, creating a fresh and inviting first impression. The heart reveals nutmeg, cinnamon, adding depth and sophistication, while the base of amber, incense leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
357,ISSEY MIYAKE,L 'EAU D ISSEY POUR FEMME,"Lotus, Freesia, Rose","Lily, Jasmine, Peony","Cedarwood, Musk, Amber","L 'Eau D Issey Pour Femme by Issey Miyake is a captivating fragrance that opens with lotus, freesia, creating a fresh and inviting first impression. The heart reveals lily, jasmine, adding depth and sophistication, while the base of cedarwood, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
358,ISSEY MIYAKE,L 'EAU D ISSEY POUR HOMME,"Yuzu, Lemon, Bergamot","Nutmeg, Cinnamon, Water Lily","Cedarwood, Sandalwood, Musk","L 'Eau D Issey Pour Homme by Issey Miyake is a captivating fragrance that opens with yuzu, lemon, creating a fresh and inviting first impression. The heart reveals nutmeg, cinnamon, adding depth and sophistication, while the base of cedarwood, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
359,ISSEY MIYAKE,L 'EAU D ISSEY SPORT,"Grapefruit, Bergamot","Nutmeg, Leather, Vetiver","Cedarwood, Amber, Musk","L 'Eau D Issey Sport by Issey Miyake is a captivating fragrance that opens with grapefruit, bergamot, creating a fresh and inviting first impression. The heart reveals nutmeg, leather, adding depth and sophistication, while the base of cedarwood, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
360,ISSEY MIYAKE,NOIR ARGENT,"Grapefruit, Pepper","Leather, Nutmeg","Vetiver, Patchouli, Amber","Noir Argent by Issey Miyake is a captivating fragrance that opens with grapefruit, pepper, creating a fresh and inviting first impression. The heart reveals leather, nutmeg, adding depth and sophistication, while the base of vetiver, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
361,ISSEY MIYAKE,BLEU,"Mint, Orange","Rosemary, Lavender","Sandalwood, Patchouli, Musk","Bleu by Issey Miyake is a captivating fragrance that opens with mint, orange, creating a fresh and inviting first impression. The heart reveals rosemary, lavender, adding depth and sophistication, while the base of sandalwood, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
362,ISSEY MIYAKE,WOON N WOOD,"Grapefruit, Cardamom","Cedarwood, Sandalwood","Vetiver, Amber, Patchouli","Woon N Wood by Issey Miyake is a captivating fragrance that opens with grapefruit, cardamom, creating a fresh and inviting first impression. The heart reveals cedarwood, sandalwood, adding depth and sophistication, while the base of vetiver, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
363,JEAN PAUL GAULTIER,LA BELLE,"Pear, Bergamot","Vanilla, Floral Notes","Vetiver, Amber, Musk","La Belle by Jean Paul Gaultier is a captivating fragrance that opens with pear, bergamot, creating a fresh and inviting first impression. The heart reveals vanilla, floral notes, adding depth and sophistication, while the base of vetiver, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
364,JEAN PAUL GAULTIER,LE MALE ELIXIR ABSOLU,"Mint, Lavender","Vanilla, Benzoin","Tonka Bean, Amber, Sandalwood","Le Male Elixir Absolu by Jean Paul Gaultier is a captivating fragrance that opens with mint, lavender, creating a fresh and inviting first impression. The heart reveals vanilla, benzoin, adding depth and sophistication, while the base of tonka bean, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
365,JEAN PAUL GAULTIER,ULTRA MALE,"Pear, Lavender","Cinnamon, Clary Sage","Vanilla, Amber, Cedarwood","Ultra Male by Jean Paul Gaultier is a captivating fragrance that opens with pear, lavender, creating a fresh and inviting first impression. The heart reveals cinnamon, clary sage, adding depth and sophistication, while the base of vanilla, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
366,JEAN PAUL GAULTIER,LE MALE,"Mint, Lavender","Bergamot, Cinnamon","Vanilla, Tonka Bean, Sandalwood","Le Male by Jean Paul Gaultier is a captivating fragrance that opens with mint, lavender, creating a fresh and inviting first impression. The heart reveals bergamot, cinnamon, adding depth and sophistication, while the base of vanilla, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
367,JEAN PAUL GAULTIER,LE MALE LE PARFUM,"Cardamom, Lavender","Iris, Vanilla","Amber, Wood, Patchouli","Le Male Le Parfum by Jean Paul Gaultier is a captivating fragrance that opens with cardamom, lavender, creating a fresh and inviting first impression. The heart reveals iris, vanilla, adding depth and sophistication, while the base of amber, wood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
368,JEAN PAUL GAULTIER,SCANDAL MEN,"Mandarin, Clary Sage","Caramel, Tonka Bean","Vetiver, Amber, Sandalwood","Scandal Men by Jean Paul Gaultier is a captivating fragrance that opens with mandarin, clary sage, creating a fresh and inviting first impression. The heart reveals caramel, tonka bean, adding depth and sophistication, while the base of vetiver, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
369,JEAN PAUL GAULTIER,LE BEAU 2019,"Bergamot, Coconut","Tonka Bean, Ylang-Ylang","Sandalwood, Amber, Musk","Le Beau 2019 by Jean Paul Gaultier is a captivating fragrance that opens with bergamot, coconut, creating a fresh and inviting first impression. The heart reveals tonka bean, ylang-ylang, adding depth and sophistication, while the base of sandalwood, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
370,JEAN PAUL GAULTIER,LE MALE ELIXIR,"Lavender, Mint","Benzoin, Vanilla","Tonka Bean, Honey, Amber","Le Male Elixir by Jean Paul Gaultier is a captivating fragrance that opens with lavender, mint, creating a fresh and inviting first impression. The heart reveals benzoin, vanilla, adding depth and sophistication, while the base of tonka bean, honey leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
371,JEAN PAUL GAULTIER,DIVINE ELIXIR,"Salt, Bergamot","Lily, Jasmine","Vanilla, Amber, Musk","Divine Elixir by Jean Paul Gaultier is a captivating fragrance that opens with salt, bergamot, creating a fresh and inviting first impression. The heart reveals lily, jasmine, adding depth and sophistication, while the base of vanilla, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
372,JEAN PAUL GAULTIER,LA BELLE FLOWER EDITION,"Pear, Citrus","Floral Notes, Vanilla","Vetiver, Amber, Musk","La Belle Flower Edition by Jean Paul Gaultier is a captivating fragrance that opens with pear, citrus, creating a fresh and inviting first impression. The heart reveals floral notes, vanilla, adding depth and sophistication, while the base of vetiver, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
373,JIMMY CHOO,POUR HOMME,"Lavender, Mandarin","Geranium, Pineapple","Patchouli, Amber, Suede","Pour Homme by Jimmy Choo is a captivating fragrance that opens with lavender, mandarin, creating a fresh and inviting first impression. The heart reveals geranium, pineapple, adding depth and sophistication, while the base of patchouli, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
374,JO MALONE,POMEGRANATE NOIR COLOGNE,"Pomegranate, Raspberry","Lily, Jasmine","Guaiac Wood, Patchouli, Amber","Pomegranate Noir Cologne by Jo Malone is a captivating fragrance that opens with pomegranate, raspberry, creating a fresh and inviting first impression. The heart reveals lily, jasmine, adding depth and sophistication, while the base of guaiac wood, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
375,JO MALONE,RED HIBISCUS,"Mandarin, Ginger","Hibiscus, Jasmine","Vanilla, Musk, Amber","Red Hibiscus by Jo Malone is a captivating fragrance that opens with mandarin, ginger, creating a fresh and inviting first impression. The heart reveals hibiscus, jasmine, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
376,JO MALONE,POPPY & BARLEY,"Fig, Blackcurrant","Poppy, Wheat","Barley, Musk, Sandalwood","Poppy & Barley by Jo Malone is a captivating fragrance that opens with fig, blackcurrant, creating a fresh and inviting first impression. The heart reveals poppy, wheat, adding depth and sophistication, while the base of barley, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
377,JO MALONE,ENGLISH PEAR & SWEET PEA,"Pear, Bergamot","Sweet Pea, Rose","Musk, White Woods, Amber","English Pear & Sweet Pea by Jo Malone is a captivating fragrance that opens with pear, bergamot, creating a fresh and inviting first impression. The heart reveals sweet pea, rose, adding depth and sophistication, while the base of musk, white woods leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
378,JO MALONE,MYRHH&TONKA,Lavender,"Myrrh, Almond","Tonka Bean, Vanilla, Amber","Myrhh&Tonka by Jo Malone is a captivating fragrance that opens with lavender, creating a fresh and inviting first impression. The heart reveals myrrh, almond, adding depth and sophistication, while the base of tonka bean, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
379,JO MALONE,OUDH BERGAMOT,"Bergamot, Lemon","Oud, Cedarwood","Amber, Musk, Patchouli","Oudh Bergamot by Jo Malone is a captivating fragrance that opens with bergamot, lemon, creating a fresh and inviting first impression. The heart reveals oud, cedarwood, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
380,JO MALONE,LIME BASIL MANDARIN,"Lime, Mandarin","Basil, Thyme","Amberwood, Musk, Vetiver","Lime Basil Mandarin by Jo Malone is a captivating fragrance that opens with lime, mandarin, creating a fresh and inviting first impression. The heart reveals basil, thyme, adding depth and sophistication, while the base of amberwood, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
381,JO MALONE,VELVET ROSE OUDH,"Clove, Damask Rose","Oud, Praline","Amber, Musk, Sandalwood","Velvet Rose Oudh by Jo Malone is a captivating fragrance that opens with clove, damask rose, creating a fresh and inviting first impression. The heart reveals oud, praline, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
382,JO MALONE,BITTER MANDARIN,"Mandarin, Orange","Petitgrain, Orange Blossom","Vetiver, Amber, Musk","Bitter Mandarin by Jo Malone is a captivating fragrance that opens with mandarin, orange, creating a fresh and inviting first impression. The heart reveals petitgrain, orange blossom, adding depth and sophistication, while the base of vetiver, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
383,JO MALONE,FIG & LOTUS FLOWER,"Fig, Bergamot","Lotus Flower, Jasmine","Vetiver, Cedarwood, Musk","Fig & Lotus Flower by Jo Malone is a captivating fragrance that opens with fig, bergamot, creating a fresh and inviting first impression. The heart reveals lotus flower, jasmine, adding depth and sophistication, while the base of vetiver, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
384,JUICY COUTURE,VIVA LA JUICY,"Wild Berries, Mandarin","Jasmine, Gardenia","Caramel, Vanilla, Amber","Viva La Juicy by Juicy Couture is a captivating fragrance that opens with wild berries, mandarin, creating a fresh and inviting first impression. The heart reveals jasmine, gardenia, adding depth and sophistication, while the base of caramel, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
385,KAYALI,YUM BOUJEE MARSHMALLOW 81.,"Strawberry, Lemon","Marshmallow, Coconut","Vanilla, Musk, Sugar","Yum Boujee Marshmallow 81. by Kayali is a captivating fragrance that opens with strawberry, lemon, creating a fresh and inviting first impression. The heart reveals marshmallow, coconut, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
386,KAYALI,FLEUR MAJESTY ROSE ROYALE | 31,"Pear, Peach","Rose, Jasmine","Vanilla, Amber, Musk","Fleur Majesty Rose Royale | 31 by Kayali is a captivating fragrance that opens with pear, peach, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of vanilla, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
387,KAYALI,CITRUS 08,"Lemon, Bergamot","Orange Blossom, Neroli","Musk, Amber, Cedarwood","Citrus 08 by Kayali is a captivating fragrance that opens with lemon, bergamot, creating a fresh and inviting first impression. The heart reveals orange blossom, neroli, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
388,KAYALI,YUM PISTACHIO GELATO 33,"Pistachio, Ice Cream Accord","Jasmine, Heliotrope","Vanilla, Tonka Bean, Musk","Yum Pistachio Gelato 33 by Kayali is a captivating fragrance that opens with pistachio, ice cream accord, creating a fresh and inviting first impression. The heart reveals jasmine, heliotrope, adding depth and sophistication, while the base of vanilla, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
389,KAYALI,THE WEDDING VELVET SANTAL 35,"Bergamot, Freesia","Sandalwood, Rose","Musk, Vanilla, Amber","The Wedding Velvet Santal 35 by Kayali is a captivating fragrance that opens with bergamot, freesia, creating a fresh and inviting first impression. The heart reveals sandalwood, rose, adding depth and sophistication, while the base of musk, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
390,KAYALI,EDEN JUICY APPLE 01,"Apple, Blackcurrant","Jasmine, Rose","Vanilla, Musk, Amber","Eden Juicy Apple 01 by Kayali is a captivating fragrance that opens with apple, blackcurrant, creating a fresh and inviting first impression. The heart reveals jasmine, rose, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
391,KAYALI,VANILLA ROYAL SUGARED PATCHOUL,"Sugar, Rum","Patchouli, Rose","Vanilla, Amber, Musk","Vanilla Royal Sugared Patchoul by Kayali is a captivating fragrance that opens with sugar, rum, creating a fresh and inviting first impression. The heart reveals patchouli, rose, adding depth and sophistication, while the base of vanilla, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
392,KAYALI,DEJU VU WHITE FLOWERS 57,"Gardenia, Pear","Tuberose, Jasmine","Sandalwood, Musk, Vanilla","Deju Vu White Flowers 57 by Kayali is a captivating fragrance that opens with gardenia, pear, creating a fresh and inviting first impression. The heart reveals tuberose, jasmine, adding depth and sophistication, while the base of sandalwood, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
393,KAYALI,UTOPIA VANILLA COCO,"Coconut, Lemon","Jasmine, Tuberose","Vanilla, Musk, Sandalwood","Utopia Vanilla Coco by Kayali is a captivating fragrance that opens with coconut, lemon, creating a fresh and inviting first impression. The heart reveals jasmine, tuberose, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
394,KAYALI,VANILLA 28,"Brown Sugar, Vanilla","Tonka Bean, Amber","Musk, Amber, Patchouli","Vanilla 28 by Kayali is a captivating fragrance that opens with brown sugar, vanilla, creating a fresh and inviting first impression. The heart reveals tonka bean, amber, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
395,KENNETH COLE,BLACK,"Mandarin, Ginger","Basil, Lotus","Incense, Musk, Cedarwood","Black by Kenneth Cole is a captivating fragrance that opens with mandarin, ginger, creating a fresh and inviting first impression. The heart reveals basil, lotus, adding depth and sophistication, while the base of incense, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
396,KENZO,L'EAU PUR,"Lemon, Bergamot","Aquatic Notes, Lotus","Musk, Cedarwood, Amber","L'Eau Pur by Kenzo is a captivating fragrance that opens with lemon, bergamot, creating a fresh and inviting first impression. The heart reveals aquatic notes, lotus, adding depth and sophistication, while the base of musk, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
397,KILIAN,SMOKING HOT,"Apple, Cinnamon","Tobacco, Vanilla","Bourbon, Amber, Sandalwood","Smoking Hot by Kilian is a captivating fragrance that opens with apple, cinnamon, creating a fresh and inviting first impression. The heart reveals tobacco, vanilla, adding depth and sophistication, while the base of bourbon, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
398,KILIAN,DO IT FOR LOVE,"Bergamot, Lemon","Jasmine, Rose","Vetiver, Musk, Amber","Do It For Love by Kilian is a captivating fragrance that opens with bergamot, lemon, creating a fresh and inviting first impression. The heart reveals jasmine, rose, adding depth and sophistication, while the base of vetiver, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
399,KILIAN,BAMBOO HARMONY,"Neroli, Bergamot","Tea, Bamboo","Musk, Fig Leaf, Oakmoss","Bamboo Harmony by Kilian is a captivating fragrance that opens with neroli, bergamot, creating a fresh and inviting first impression. The heart reveals tea, bamboo, adding depth and sophistication, while the base of musk, fig leaf leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
400,KILIAN,CRUEL INTENTIONS,"Bergamot, Pink Pepper","Rose, Patchouli","Vetiver, Amber, Sandalwood","Cruel Intentions by Kilian is a captivating fragrance that opens with bergamot, pink pepper, creating a fresh and inviting first impression. The heart reveals rose, patchouli, adding depth and sophistication, while the base of vetiver, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
401,KILIAN,GOLD KNIGHT,"Bergamot, Anise","Honey, Vanilla","Patchouli, Amber, Musk","Gold Knight by Kilian is a captivating fragrance that opens with bergamot, anise, creating a fresh and inviting first impression. The heart reveals honey, vanilla, adding depth and sophistication, while the base of patchouli, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
402,KILIAN,LIAISONS DANGEREUSES,"Peach, Plum","Rose, Cinnamon","Vanilla, Musk, Amber","Liaisons Dangereuses by Kilian is a captivating fragrance that opens with peach, plum, creating a fresh and inviting first impression. The heart reveals rose, cinnamon, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
403,KILIAN,LOVE THE WAY YOU FEEL,"Mandarin, Bergamot","Floral Notes, Jasmine","Musk, Amber, Sandalwood","Love The Way You Feel by Kilian is a captivating fragrance that opens with mandarin, bergamot, creating a fresh and inviting first impression. The heart reveals floral notes, jasmine, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
404,KILIAN,AMBER OUD ARABIAN NIGHTS,"Saffron, Bergamot","Oud, Rose","Amber, Musk, Sandalwood","Amber Oud Arabian Nights by Kilian is a captivating fragrance that opens with saffron, bergamot, creating a fresh and inviting first impression. The heart reveals oud, rose, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
405,KILIAN,LOVE & TEARS,"Bergamot, Lemon","Rose, Jasmine","Musk, Cedarwood, Amber","Love & Tears by Kilian is a captivating fragrance that opens with bergamot, lemon, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of musk, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
406,KILIAN,LOVE THE WAY YOU TASTE,"Fruits, Citrus","Floral Notes, Vanilla","Musk, Amber, Sugar","Love The Way You Taste by Kilian is a captivating fragrance that opens with fruits, citrus, creating a fresh and inviting first impression. The heart reveals floral notes, vanilla, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
407,KILIAN,ROSES ON ICE,"Cucumber, Lime","Rose, Juniper","Sandalwood, Musk, Amber","Roses On Ice by Kilian is a captivating fragrance that opens with cucumber, lime, creating a fresh and inviting first impression. The heart reveals rose, juniper, adding depth and sophistication, while the base of sandalwood, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
408,KILIAN,WOMAN IN GOLD,"Bergamot, Mandarin","Rose, Vanilla","Patchouli, Tonka Bean, Musk","Woman In Gold by Kilian is a captivating fragrance that opens with bergamot, mandarin, creating a fresh and inviting first impression. The heart reveals rose, vanilla, adding depth and sophistication, while the base of patchouli, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
409,KILIAN,ANGLES SHARE,"Cognac, Cinnamon","Tonka Bean, Oak","Vanilla, Praline, Sandalwood","Angles Share by Kilian is a captivating fragrance that opens with cognac, cinnamon, creating a fresh and inviting first impression. The heart reveals tonka bean, oak, adding depth and sophistication, while the base of vanilla, praline leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
410,KILIAN,APPLE BRANDY,"Apple, Cardamom","Brandy, Rum","Vanilla, Cedarwood, Musk","Apple Brandy by Kilian is a captivating fragrance that opens with apple, cardamom, creating a fresh and inviting first impression. The heart reveals brandy, rum, adding depth and sophistication, while the base of vanilla, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
411,KILIAN,GOOD GIRL GONE BAD,"Apricot, Osmanthus","Jasmine, Tuberose","Cedarwood, Amber, Musk","Good Girl Gone Bad by Kilian is a captivating fragrance that opens with apricot, osmanthus, creating a fresh and inviting first impression. The heart reveals jasmine, tuberose, adding depth and sophistication, while the base of cedarwood, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
412,KILIAN,SACRED WOOD,Bergamot,"Sandalwood, Milk","Cedarwood, Musk, Amber","Sacred Wood by Kilian is a captivating fragrance that opens with bergamot, creating a fresh and inviting first impression. The heart reveals sandalwood, milk, adding depth and sophistication, while the base of cedarwood, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
413,KILIAN,BACK TO BLACK,"Honey, Cherry","Tobacco, Rose","Vanilla, Amber, Sandalwood","Back To Black by Kilian is a captivating fragrance that opens with honey, cherry, creating a fresh and inviting first impression. The heart reveals tobacco, rose, adding depth and sophistication, while the base of vanilla, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
