SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
458,LOUIS VUITTON,TURBULENCE,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Turbulence by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
459,LOUIS VUITTON,LES SABLES ROSE,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Les Sables Rose by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
460,LOUIS VUITTON,LIMMENSITE -,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Limmensite - by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
461,LOUIS VUITTON,AU HASARD -,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Au Hasard - by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
462,LOUIS VUITTON,AFTERNOON SWIM,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Afternoon Swim by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
463,LOUIS VUITTON,OMBRE NOMADE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Ombre Nomade by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
464,LOUIS VUITTON,CACTUS GARDEN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Cactus Garden by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
465,LOUIS VUITTON,ON THE BEACH,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover On The Beach by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
466,LOUIS VUITTON,ROSE DE VENTS,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Rose De Vents by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
467,LOUIS VUITTON,CITY OF STARS,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover City Of Stars by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
468,LOUIS VUITTON,IMAGINATION,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Imagination by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
469,LOUIS VUITTON,LES SABLES ROSES,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Les Sables Roses by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
470,MAISON,AMBRE CHROMATIQUE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Ambre Chromatique by Maison, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
471,MAISON,BOIS D'ATCHAI,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Bois D'Atchai by Maison, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
472,MAISON CRIVELLI,OUD CADENZA,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Cadenza by Maison Crivelli, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
473,MAISON CRIVELLI,OUD STALLION,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Stallion by Maison Crivelli, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
474,MAISON CRIVELLI,TUBEREUSE ASTRALE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Tubereuse Astrale by Maison Crivelli, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
475,MAISON CRIVELLI,CUIR INFRAROUGE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Cuir Infrarouge by Maison Crivelli, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
476,MAISON CRIVELLI,SAFRAN SECRET,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Safran Secret by Maison Crivelli, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
477,MAISON CRIVELLI,CUIR INFRA ROUGE,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Cuir Infra Rouge by Maison Crivelli, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
478,MAISON FRANCIS KURKDJIAN,AQUA MEDUA COLOGNE FORTE,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Medua Cologne Forte by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
479,MAISON FRANCIS KURKDJIAN,À LA ROSE,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover À La Rose by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
480,MAISON FRANCIS KURKDJIAN,BACCARAT ROGUE 540,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Baccarat Rogue 540 by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
481,MAISON FRANCIS KURKDJIAN,OUDH SILK MOOD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oudh Silk Mood by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
482,MAISON FRANCIS KURKDJIAN,OUDH SATIN MOOD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oudh Satin Mood by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
483,MAISON FRANCIS KURKDJIAN,GRAND SOIR,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Grand Soir by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
484,MAISON FRANCIS KURKDJIAN,AQUA CELESTIA,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Celestia by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
485,MAISON FRANCIS KURKDJIAN,GENTLE FLUIDITY GOLD,"Mandarin, Saffron","Rose, Cinnamon","Amber, Vanilla, Oud","Discover Gentle Fluidity Gold by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of amber and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
486,MAISON FRANCIS KURKDJIAN,BR540 EXTRAIT,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Br540 Extrait by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
487,MAISON FRANCIS KURKDJIAN,724 MAISON FRANCIS KURKDJIAN,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover 724 Maison Francis Kurkdjian by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
488,MAISON MARGIELA,REPLICA BY WHISPERS,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Replica By Whispers by Maison Margiela, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
489,MAISON MARGIELA,FIREPLACE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Fireplace by Maison Margiela, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
490,MAISON MARGIELA,LIPSTICK ON,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Lipstick On by Maison Margiela, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
491,MAISON MARGIELA,JAZZ CLUB,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Jazz Club by Maison Margiela, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
492,MAISON MARGIELA,BUBBLE BATH,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Bubble Bath by Maison Margiela, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
493,MAISON MARGIELA,AUTUMN VIBES,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Autumn Vibes by Maison Margiela, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
494,MANCERA,AMORE CAFFÈ,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Amore Caffè by Mancera, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
495,MANCERA,XPLICIT VANILLA,"Citrus, Pear","Jasmine, Tonka Bean","Vanilla, Amber, Sandalwood","Discover Xplicit Vanilla by Mancera, a refined fragrance crafted to make a lasting impression. It opens with citrus and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
496,MANCERA,CEDRAT BOISE -,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Cedrat Boise - by Mancera, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
497,MANCERA,AOUD VANILLE,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Aoud Vanille by Mancera, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
498,MANCERA,AOUD LEMON AND MINT,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Aoud Lemon And Mint by Mancera, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
499,MANCERA,RED TOBACCO,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Red Tobacco by Mancera, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
500,MANCERA,ROSES VANILLA,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Roses Vanilla by Mancera, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
501,MANCERA,GOLD INTENSIVE AOUD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Gold Intensive Aoud by Mancera, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
502,MANCERA,CRAZY FOR OUDH,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Crazy For Oudh by Mancera, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
503,MANCERA,HINDU KUSH,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Hindu Kush by Mancera, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
504,MANCERA,BLACK VANILLA,"Citrus, Pear","Jasmine, Tonka Bean","Vanilla, Amber, Sandalwood","Discover Black Vanilla by Mancera, a refined fragrance crafted to make a lasting impression. It opens with citrus and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
505,MARC JACOBS,DAISY,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Daisy by Marc Jacobs, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
506,MATIERE PREMIERE,CRYSTAL SAFFRON,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Crystal Saffron by Matiere Premiere, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
507,MATIERE PREMIERE,FALCON LEATHER,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Falcon Leather by Matiere Premiere, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
508,MEMO PARIS,IRISH LEATHER,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Irish Leather by Memo Paris, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
509,MEMO PARIS,AFRICAN LEATHER,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover African Leather by Memo Paris, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
510,MEMO PARIS,ITALIAN LEATHER,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Italian Leather by Memo Paris, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
511,MEMO PARIS,ARGENTINA -,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Argentina - by Memo Paris, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
512,MEMO PARIS,AFRICAN ROSE,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover African Rose by Memo Paris, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
513,MEMO PARIS,OCEAN LEATHER,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Ocean Leather by Memo Paris, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
514,MEMO PARIS,RUSSIAN LEATHER,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Russian Leather by Memo Paris, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
515,MEMO PARIS,AFRICAN LEATHER SPL,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover African Leather Spl by Memo Paris, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
516,MEMO PARIS,ARGENTINA LEATHER,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Argentina Leather by Memo Paris, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
517,MEMO PARIS,INDIAN LEATHER,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Indian Leather by Memo Paris, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
518,MEMOIRS OF A PERFUME,TALES FROM ZANZIBAR,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Tales From Zanzibar by Memoirs Of A Perfume, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
519,MFK,AMYRIS HOMME,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Amyris Homme by Mfk, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
520,MONT BLANC,EMBLEM,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Emblem by Mont Blanc, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
521,MONT BLANC,INDIVIDUAL,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Individual by Mont Blanc, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
522,MONT BLANC,LEGEND,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Legend by Mont Blanc, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
523,MONT BLANC,STARWALKER,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Starwalker by Mont Blanc, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
524,MONTALE,CAFÉ NOIR,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Café Noir by Montale, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
525,MONTALE,BLUE MATCHA -,"Lemon, Mint","Lavender, Geranium","Amberwood, Musk, Cedar","Discover Blue Matcha - by Montale, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amberwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
526,MONTALE,INTENSE CAFÉ -,"Grapefruit, Pepper","Lavender, Cardamom","Amber, Vetiver, Woods","Discover Intense Café - by Montale, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amber and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
527,MONTALE,BLACK AOUD -,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Black Aoud - by Montale, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
528,MONTALE,CHOCOLATE GREEDY,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Chocolate Greedy by Montale, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
529,MONTALE,ARABIAN TONKA,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Arabian Tonka by Montale, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
530,MONTALE,OUD TOBACCO,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Tobacco by Montale, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
531,MONTALE,AOUD LIME,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Aoud Lime by Montale, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
