SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION
401,KILIAN,GOLD KNIGHT,"Apple, Bergamot","Cinnamon, Lavender","Vanilla, Tonka Bean, Amber","Discover Gold Knight by Kilian, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of cinnamon and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
402,KILIAN,LIAISONS DANGEREUSES,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Liaisons Dangereuses by Kilian, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
403,KILIAN,LOVE THE WAY YOU FEEL,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Love The Way You Feel by Kilian, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
404,KILIAN,AMBER OUD ARABIAN NIGHTS,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Amber Oud Arabian Nights by Kilian, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
405,KILIAN,LOVE & TEARS,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Love & Tears by Kilian, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
406,KILIAN,LOVE THE WAY YOU TASTE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Love The Way You Taste by Kilian, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
407,KILIAN,ROSES ON ICE,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Roses On Ice by Kilian, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
408,KILIAN,WOMAN IN GOLD,"Mandarin, Saffron","Rose, Cinnamon","Amber, Vanilla, Oud","Discover Woman In Gold by Kilian, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of amber and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
409,KILIAN,ANGLES SHARE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Angles Share by Kilian, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
410,KILIAN,APPLE BRANDY,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Apple Brandy by Kilian, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
411,KILIAN,GOOD GIRL GONE BAD,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Good Girl Gone Bad by Kilian, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
412,KILIAN,SACRED WOOD,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Sacred Wood by Kilian, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
413,KILIAN,BACK TO BLACK,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Back To Black by Kilian, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
414,KILIAN,SMOKE FOR SOUL,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Smoke For Soul by Kilian, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
415,KILIAN,BLACK PHANTOM,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Black Phantom by Kilian, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
416,KILIAN,INTOXICATED,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Intoxicated by Kilian, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
417,KILIAN,PLAYING WITH THE DEVIL,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Playing With The Devil by Kilian, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
418,KILIAN,ROSE OUD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Rose Oud by Kilian, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
419,KILIAN,STRAIGHT TO HEAVEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Straight To Heaven by Kilian, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
420,KILIAN,VODKA ON THE ROCKS,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Vodka On The Rocks by Kilian, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
421,LACOSTE,WHITE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover White by Lacoste, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
422,LACOSTE,GREEN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Green by Lacoste, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
423,LANCOME,ABSOLUE LES PARFUM,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Absolue Les Parfum by Lancome, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
424,LANCOME,L'AUTRE OUD EDP,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover L'Autre Oud Edp by Lancome, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
425,LANCOME,LA VIE EST BELLE EN ROSE,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover La Vie Est Belle En Rose by Lancome, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
426,LANCOME,POEME,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Poeme by Lancome, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
427,LANCOME,LA VIE EST BELLE,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover La Vie Est Belle by Lancome, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
428,LANCOME,TRESOR MIDNIGHT ROSE,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Tresor Midnight Rose by Lancome, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
429,LANCOME,OUD BOUQUET,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Bouquet by Lancome, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
430,LANCOME,TRÉSOR,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Trésor by Lancome, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
431,LANCOME,LA VIE EST BELLE VANILLE NUDE,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover La Vie Est Belle Vanille Nude by Lancome, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
432,LATTAFA,ASAD BOURBON,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Asad Bourbon by Lattafa, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
433,LATTAFA,TERIAQ,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Teriaq by Lattafa, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
434,LATTAFA,BADEE AL OUD HONOR & GLORY,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Badee Al Oud Honor & Glory by Lattafa, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
435,LATTAFA,KHAMRAH DUKHAN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Khamrah Dukhan by Lattafa, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
436,LATTAFA,YARA,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Yara by Lattafa, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
437,LATTAFA,ASAD,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Asad by Lattafa, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
438,LATTAFA,HAYAATI,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Hayaati by Lattafa, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
439,LATTAFA,KHAMRAH,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Khamrah by Lattafa, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
440,LATTAFA,VELVET ROSE,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Velvet Rose by Lattafa, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
441,LATTAFA,KHAMRAH QAHWA,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Khamrah Qahwa by Lattafa, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
442,LATTAFA,SHAMS AL EMARAT,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Shams Al Emarat by Lattafa, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
443,LATTAFA,BADEE AL OUDH NOBLE BLUSH,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Badee Al Oudh Noble Blush by Lattafa, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
444,LAVERNE,SENSE FOREVER,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Sense Forever by Laverne, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
445,LE LABO,TABAC 28 MIAMI -,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Tabac 28 Miami - by Le Labo, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
446,LE LABO,SANTAL 33,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Santal 33 by Le Labo, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
447,LE LABO,THE MATCHA 26,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover The Matcha 26 by Le Labo, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
448,LE LABO,ROSE 31,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Rose 31 by Le Labo, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
449,LOOTHA,SILKY OUD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Silky Oud by Lootha, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
450,LOUIS VUITTON,ORAGE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Orage by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
451,LOUIS VUITTON,SUR LA ROUTE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Sur La Route by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
452,LOUIS VUITTON,NUIT DE FEU,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Nuit De Feu by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
453,LOUIS VUITTON,LE JOUR SE LÈVE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Le Jour Se Lève by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
454,LOUIS VUITTON,LE JOUR SE LÈVE PREMIUM,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Le Jour Se Lève Premium by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
455,LOUIS VUITTON,ELVES,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Elves by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
456,LOUIS VUITTON,COUER BATTANT,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Couer Battant by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
457,LOUIS VUITTON,DANS LA PEAU,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Dans La Peau by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
458,LOUIS VUITTON,TURBULENCE,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Turbulence by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
459,LOUIS VUITTON,LES SABLES ROSE,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Les Sables Rose by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
460,LOUIS VUITTON,LIMMENSITE -,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Limmensite - by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
461,LOUIS VUITTON,AU HASARD -,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Au Hasard - by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
462,LOUIS VUITTON,AFTERNOON SWIM,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Afternoon Swim by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
463,LOUIS VUITTON,OMBRE NOMADE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Ombre Nomade by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
464,LOUIS VUITTON,CACTUS GARDEN,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Cactus Garden by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
465,LOUIS VUITTON,ON THE BEACH,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover On The Beach by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
466,LOUIS VUITTON,ROSE DE VENTS,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Rose De Vents by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
467,LOUIS VUITTON,CITY OF STARS,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover City Of Stars by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
468,LOUIS VUITTON,IMAGINATION,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Imagination by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
469,LOUIS VUITTON,LES SABLES ROSES,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover Les Sables Roses by Louis Vuitton, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
470,MAISON,AMBRE CHROMATIQUE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Ambre Chromatique by Maison, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
471,MAISON,BOIS D'ATCHAI,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Bois D'Atchai by Maison, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
472,MAISON CRIVELLI,OUD CADENZA,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Cadenza by Maison Crivelli, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
473,MAISON CRIVELLI,OUD STALLION,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Stallion by Maison Crivelli, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
474,MAISON CRIVELLI,TUBEREUSE ASTRALE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Tubereuse Astrale by Maison Crivelli, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
475,MAISON CRIVELLI,CUIR INFRAROUGE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Cuir Infrarouge by Maison Crivelli, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
476,MAISON CRIVELLI,SAFRAN SECRET,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Safran Secret by Maison Crivelli, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
477,MAISON CRIVELLI,CUIR INFRA ROUGE,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Cuir Infra Rouge by Maison Crivelli, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
478,MAISON FRANCIS KURKDJIAN,AQUA MEDUA COLOGNE FORTE,"Marine Notes, Lemon","Lavender, Neroli","Musk, Cedarwood, Amber","Discover Aqua Medua Cologne Forte by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with marine notes and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
479,MAISON FRANCIS KURKDJIAN,À LA ROSE,"Lychee, Bergamot","Rose, Peony","Musk, Patchouli, Vanilla","Discover À La Rose by Maison Francis Kurkdjian, a refined fragrance crafted to make a lasting impression. It opens with lychee and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
